disorder;gene_symb
Schmid metaphyseal chondrodysplasia;COL10A1
Seckel syndrome;ATR, FRP1, SCKL1, FCTCS, RBBP8, RIM, SCKL2, JWDS, CENPJ, CPAP, MCPH6, SCKL4, CEP152, KIAA0912, MCPH9, SCKL5, CEP63, SCKL6, NIN, KIAA1565, SCKL7, DNA2, DNA2L, KIAA0083, PEOA6, SCKL8
Senior-Loken syndrome;NPHP1, NPH1, SLSN1, JBTS4, NPHP4, SLSN4, IQCB1, NPHP5, KIAA0036, CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14, SDCCAG8, CCCAP, SLSN7, BBS16
Sensenbrenner syndrome;IFT122, WDR10, CED1, WDR35, NAOFEN, KIAA1336, CED2, SRTD7
Silver-Russell syndrome;H19, D11S813E, ASM1, BWS, WT2
Simpson-Golabi-Behmel syndrome;OFD1, CXorf5, SGBS2, JBTS10, RP23, GPC3, SDYS, SGBS1
Sjogren-Larsson syndrome;ALDH3A2, ALDH10, SLS, FALDH
Sly syndrome;GUSB, MPS7
Smith-Lemli-Opitz syndrome;DHCR7, SLOS
Smith-McCort dysplasia;DYM, FLJ90130, DMC, SMC, RAB33B, SMC2
Sneddon syndrome;CECR1, PAN, SNEDS
Sotos syndrome;NSD1, ARA267, STO, SOTOS1, NFIX, NF1A, SOTOS2, MRSHSS
Stargardt disease;ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2, CNGB3, ACHM3, ACHM1, ELOVL4, ADMD, STGD2, STGD3, ISQMR, SCA34, PROM1, PROML1, AC133, RP41, CORD12, CD133, MCDR2, STGD4
Stickler syndrome;COL2A1, COL11A2, STL3, DFNA13, DFNB53, FBCG2, COL11A1, STL2
Sugio-Kajii syndrome;TRPS1
Tangier disease;ABCA1, ABC1, HDLDT1, TGD
Tay-Sachs disease;HEXA, TSD
Tay-Sachs disease AB variant;GM2A
Thomsen disease;CLCN1
Townes-Brocks syndrome;SALL1, HSAL1, TBS
Treacher Collins syndrome;TCOF1, MFD1, TCS1, POLR1C, RPA39, RPA40, RPAC1, RPA5, TCS3, POLR1D, RPA16, RPAC2, TCS2
Troyer syndrome;SPG20
